modelo,accuracy,f1,tiempo_s
sk_sgd_perc,0.9883720930232558,0.9846153846153847,0.0008248999947682023
log_reg,0.9767441860465116,0.96875,0.007458999985828996
best_gridsearch,0.9651162790697675,0.9552238805970149,
sk_perceptron,0.9651162790697675,0.9538461538461539,0.001130299991928041
scratch,0.9418604651162791,0.927536231884058,0.09988580003846437
